carrera,escuela,direccion,maps,pagina_web,telefono
Diseño Gráfico,IP AIEP,"Cuevas 70, Rancagua, VI Región, Chile",https://goo.gl/maps/EtJvQGvvvHB2,http://www.aiep.cl/carrera/diseno-grafico/43/,(+56) 600 585 5050
Diseño Gráfico,IP AIEP,"Barros Arana 302, Concepción, Región del Bío Bío, Chile",https://goo.gl/maps/476m6K7xWJx,http://www.aiep.cl/carrera/diseno-grafico/43/,(+56) 600 585 5050
Diseño Gráfico,IP DUOC UC,"Álvarez 2330, Viña del Mar, Región de Valparaíso, Chile",https://goo.gl/maps/GeRRVJUadZr,http://www.duoc.cl/carrera/diseno-grafico,(+56 2) 2999 3862
Diseño Gráfico,IP DUOC UC,"Camino El Alba 12881, Las Condes, Región Metropolitana, Chile",https://goo.gl/maps/XNz3pWfZKx12,http://www.duoc.cl/carrera/diseno-grafico,(+56 2) 2999 3862
Diseño Gráfico,IP DUOC UC,"Froilán Roa 7107, Mall Plaza Vespucio, La Florida, Región Metropolitana, Chile",https://goo.gl/maps/9rdDbNME9HR2,http://www.duoc.cl/carrera/diseno-grafico,(+56 2) 2999 3862
Diseño Gráfico,IP DUOC UC,"Av. Américo Vespucio 1501, Cerrillos, Región Metropolitana, Chile",https://goo.gl/maps/bbZUZ5qmDv22,http://www.duoc.cl/carrera/diseno-grafico,(+56 2) 2999 3862
Diseño Gráfico,IP DUOC UC,"Paicaví 3280, Concepción, Región del Bío Bío, Chile",https://goo.gl/maps/Q2TTTz855bT2,http://www.duoc.cl/carrera/diseno-grafico,(+56 2) 2999 3862
Diseño Gráfico,IP SANTO TOMAS,"Ruta 5 Norte 1068, La Serena, Región de Coquimbo, Chile",https://goo.gl/maps/5TMaU5Y76mr,http://ipcft.santotomas.cl/carreras/diseno-grafico/,(+56) 600 444 4444
Diseño Gráfico,IP SANTO TOMAS,"Vicuña Mackenna 4835, San Joaquín, Región Metropolitana, Chile",https://goo.gl/maps/YpHNyYMrJVA2,http://ipcft.santotomas.cl/carreras/diseno-grafico/,(+56) 600 444 4444
Diseño Gráfico,IP SANTO TOMAS,"Carlos Schorr 255, Talca, VII Región, Chile",https://goo.gl/maps/nPB9XRPEZXz,http://ipcft.santotomas.cl/carreras/diseno-grafico/,(+56) 600 444 4444
Diseño Gráfico,IP SANTO TOMAS,"Arturo Prat 879, Concepción, Región del Bío Bío, Chile",https://goo.gl/maps/ZUvnmyWKLu12,http://ipcft.santotomas.cl/carreras/diseno-grafico/,(+56) 600 444 4444
